id_img,label
10019,sadness
10023,sadness
10074,sadness
10096,sadness
10106,sadness
10126,sadness
10138,sadness
10141,sadness
1020,sadness
10218,sadness
10237,sadness
10248,sadness
10257,sadness
1027,sadness
10273,sadness
10276,sadness
10312,sadness
10317,sadness
10344,sadness
10362,sadness
10367,sadness
10370,sadness
10432,sadness
10456,happy
10467,sadness
10468,sadness
10480,sadness
10528,sadness
10540,sadness
10552,sadness
1056,happy
10571,sadness
1058,sadness
10622,sadness
10638,happy
10640,sadness
10644,sadness
10647,sadness
10683,sadness
10703,sadness
1074,sadness
10770,sadness
10773,happy
10792,happy
1081,sadness
10811,sadness
10841,sadness
10879,sadness
10903,sadness
10935,sadness
10956,happy
10992,sadness
11019,sadness
1111,sadness
11150,sadness
11208,sadness
1121,happy
11236,sadness
1130,sadness
11345,sadness
11349,sadness
11392,sadness
1141,sadness
11500,sadness
11508,sadness
11516,happy
1152,sadness
11530,sadness
11549,sadness
11552,sadness
11558,sadness
11573,sadness
11575,sadness
11588,happy
1159,sadness
11594,sadness
11604,sadness
11614,sadness
11637,sadness
11646,sadness
11658,sadness
11717,sadness
11733,sadness
11763,sadness
11766,happy
11772,sadness
11785,sadness
11793,sadness
11808,sadness
11814,sadness
11819,sadness
11835,sadness
11842,sadness
11850,happy
11885,happy
11927,happy
12011,sadness
1202,sadness
12024,sadness
12098,sadness
12120,happy
12129,sadness
12141,sadness
12191,happy
12239,sadness
12257,sadness
12284,sadness
12321,happy
12329,sadness
12349,sadness
12359,sadness
12376,sadness
12379,sadness
12381,happy
12410,happy
1246,sadness
12487,sadness
12492,sadness
12497,sadness
12557,sadness
12560,sadness
12581,sadness
12600,sadness
12611,sadness
12672,sadness
12705,sadness
12725,happy
12729,sadness
12772,sadness
12776,sadness
12789,sadness
12861,sadness
12904,sadness
12936,sadness
12951,sadness
12956,sadness
12957,sadness
13037,sadness
13073,sadness
1309,sadness
13105,sadness
13108,happy
13127,sadness
13139,sadness
13151,sadness
1316,sadness
13204,sadness
13228,sadness
13283,happy
13317,sadness
13322,sadness
1334,sadness
13348,sadness
13353,sadness
13363,sadness
13366,sadness
13385,sadness
1341,sadness
13427,sadness
13428,sadness
13449,sadness
13456,sadness
13476,sadness
13502,sadness
13526,sadness
13528,happy
13570,sadness
13584,sadness
13590,sadness
13615,sadness
13618,happy
13655,sadness
13703,sadness
13706,sadness
13715,happy
13757,sadness
13761,sadness
13792,sadness
13802,sadness
1381,sadness
13833,happy
13848,sadness
13874,sadness
13877,sadness
139,sadness
13911,sadness
13912,sadness
13925,sadness
1395,sadness
13955,happy
13968,happy
13969,sadness
13991,sadness
14063,sadness
14092,happy
141,happy
14139,sadness
14152,sadness
14155,sadness
14169,sadness
14236,happy
14278,happy
14282,sadness
14292,sadness
14310,sadness
14314,sadness
14327,sadness
14348,sadness
14360,sadness
14371,sadness
14378,sadness
14419,happy
14427,sadness
14448,sadness
14473,sadness
14475,sadness
14516,happy
14517,sadness
14518,sadness
14546,sadness
14586,sadness
14593,happy
14611,sadness
14700,sadness
14730,sadness
14757,happy
14759,sadness
14792,sadness
14877,sadness
1491,sadness
14965,sadness
14973,happy
15039,sadness
15060,sadness
15077,sadness
15099,sadness
1512,happy
15147,sadness
15181,sadness
15212,sadness
15216,sadness
15221,sadness
15229,sadness
