id_img,label
10019,happy
10023,happy
10074,happy
10096,sadness
10106,sadness
10126,happy
10138,happy
10141,happy
1020,sadness
10218,sadness
10237,happy
10248,happy
10257,sadness
1027,happy
10273,happy
10276,happy
10312,happy
10317,happy
10344,happy
10362,happy
10367,sadness
10370,happy
10432,sadness
10456,happy
10467,sadness
10468,sadness
10480,happy
10528,happy
10540,sadness
10552,happy
1056,sadness
10571,sadness
1058,happy
10622,happy
10638,happy
10640,happy
10644,sadness
10647,happy
10683,happy
10703,happy
1074,happy
10770,sadness
10773,happy
10792,happy
1081,sadness
10811,happy
10841,sadness
10879,sadness
10903,sadness
10935,happy
10956,happy
10992,happy
11019,happy
1111,sadness
11150,happy
11208,happy
1121,sadness
11236,sadness
1130,happy
11345,happy
11349,happy
11392,happy
1141,happy
11500,sadness
11508,happy
11516,sadness
1152,sadness
11530,sadness
11549,happy
11552,sadness
11558,happy
11573,sadness
11575,sadness
11588,sadness
1159,sadness
11594,sadness
11604,sadness
11614,happy
11637,happy
11646,happy
11658,happy
11717,sadness
11733,sadness
11763,happy
11766,happy
11772,happy
11785,happy
11793,sadness
11808,happy
11814,sadness
11819,sadness
11835,sadness
11842,sadness
11850,happy
11885,sadness
11927,happy
12011,sadness
1202,happy
12024,happy
12098,happy
12120,happy
12129,happy
12141,sadness
12191,happy
12239,happy
12257,happy
12284,sadness
12321,happy
12329,sadness
12349,sadness
12359,sadness
12376,happy
12379,sadness
12381,happy
12410,sadness
1246,happy
12487,happy
12492,happy
12497,happy
12557,sadness
12560,happy
12581,happy
12600,sadness
12611,sadness
12672,happy
12705,happy
12725,sadness
12729,happy
12772,happy
12776,happy
12789,happy
12861,happy
12904,sadness
12936,happy
12951,sadness
12956,happy
12957,happy
13037,happy
13073,sadness
1309,happy
13105,happy
13108,sadness
13127,sadness
13139,happy
13151,sadness
1316,sadness
13204,happy
13228,sadness
13283,happy
13317,sadness
13322,happy
1334,happy
13348,sadness
13353,happy
13363,sadness
13366,happy
13385,sadness
1341,sadness
13427,happy
13428,happy
13449,sadness
13456,happy
13476,sadness
13502,sadness
13526,happy
13528,happy
13570,happy
13584,sadness
13590,happy
13615,happy
13618,sadness
13655,happy
13703,happy
13706,sadness
13715,happy
13757,sadness
13761,sadness
13792,happy
13802,happy
1381,happy
13833,sadness
13848,sadness
13874,sadness
13877,happy
139,happy
13911,happy
13912,sadness
13925,sadness
1395,sadness
13955,sadness
13968,happy
13969,sadness
13991,sadness
14063,sadness
14092,happy
