id_img,label
10019,sadness
10023,sadness
10074,happy
10096,happy
10106,sadness
10126,sadness
10138,sadness
10141,sadness
1020,happy
10218,happy
10237,sadness
10248,sadness
10257,sadness
1027,sadness
10273,sadness
10276,sadness
10312,sadness
10317,sadness
10344,happy
10362,happy
10367,happy
10370,happy
10432,happy
10456,sadness
10467,sadness
10468,sadness
10480,happy
10528,happy
10540,sadness
10552,happy
1056,sadness
10571,happy
1058,happy
10622,happy
10638,sadness
10640,sadness
10644,sadness
10647,sadness
10683,sadness
10703,sadness
1074,happy
10770,sadness
10773,happy
10792,happy
1081,sadness
10811,happy
10841,sadness
10879,happy
10903,sadness
10935,sadness
10956,happy
10992,sadness
11019,sadness
1111,sadness
11150,happy
11208,happy
1121,sadness
11236,sadness
1130,sadness
11345,happy
11349,sadness
11392,happy
1141,happy
11500,happy
11508,sadness
11516,happy
1152,happy
11530,sadness
11549,happy
11552,happy
11558,sadness
11573,happy
11575,sadness
11588,happy
1159,happy
11594,sadness
11604,sadness
11614,sadness
11637,sadness
11646,happy
11658,sadness
11717,sadness
11733,sadness
11763,happy
11766,happy
11772,sadness
11785,sadness
11793,sadness
11808,happy
11814,happy
11819,happy
11835,sadness
11842,sadness
11850,sadness
11885,happy
11927,sadness
12011,sadness
1202,happy
12024,happy
12098,sadness
12120,sadness
12129,sadness
12141,happy
12191,happy
12239,happy
12257,happy
12284,happy
12321,sadness
12329,sadness
12349,sadness
12359,sadness
12376,happy
12379,happy
12381,happy
12410,sadness
1246,sadness
12487,happy
12492,sadness
12497,happy
12557,happy
12560,sadness
12581,sadness
12600,happy
12611,happy
12672,sadness
12705,sadness
12725,sadness
12729,sadness
12772,sadness
12776,happy
12789,sadness
12861,happy
12904,happy
12936,happy
12951,sadness
12956,happy
12957,sadness
13037,happy
13073,sadness
1309,sadness
13105,happy
13108,happy
13127,happy
13139,happy
13151,sadness
1316,happy
13204,happy
13228,happy
13283,happy
13317,sadness
13322,happy
1334,sadness
13348,sadness
13353,happy
13363,happy
13366,happy
13385,sadness
1341,sadness
13427,happy
13428,sadness
13449,sadness
13456,sadness
13476,happy
13502,happy
13526,happy
13528,sadness
13570,happy
13584,happy
13590,happy
13615,sadness
13618,happy
13655,happy
13703,happy
13706,happy
13715,sadness
13757,sadness
13761,sadness
13792,sadness
13802,sadness
1381,happy
13833,sadness
13848,sadness
13874,sadness
13877,sadness
139,happy
13911,happy
13912,sadness
13925,happy
1395,sadness
13955,happy
13968,happy
13969,sadness
13991,happy
14063,happy
14092,sadness
141,sadness
14139,sadness
14152,sadness
14155,happy
14169,sadness
14236,sadness
14278,happy
14282,happy
14292,happy
14310,happy
14314,happy
14327,happy
14348,sadness
14360,sadness
14371,sadness
14378,happy
14419,sadness
14427,sadness
14448,happy
14473,sadness
14475,sadness
14516,sadness
14517,sadness
14518,sadness
14546,sadness
14586,sadness
14593,sadness
14611,sadness
14700,happy
14730,sadness
14757,sadness
14759,sadness
14792,happy
14877,sadness
1491,happy
14965,sadness
14973,happy
15039,happy
15060,sadness
15077,happy
15099,sadness
1512,happy
15147,sadness
15181,sadness
15212,sadness
15216,sadness
15221,sadness
15229,happy
15257,sadness
15269,sadness
15271,sadness
15292,sadness
15310,sadness
15323,happy
15331,happy
15335,sadness
1538,happy
15397,happy
15400,sadness
